topic,number,createdOn,lastUpdated
PRHF-26623,3078195,1667989544,1668002215
PRHF-26627,3078330,1667991218,1667992232
PRHF-26627,3078207,1667991119,1667992220
PRHF-26621,3078189,1667988156,1667990221
PRHF-26621,3078191,1667988334,1667990201
PRHF-26597,3077220,1667979558,1667985247
PRHF-26597,3077219,1667979421,1667985240
PRHF-26594,3075766,1667906353,1667918545
PRHF-26594,3075765,1667906262,1667918513
PRHF-26594,3075763,1667906050,1667918398
PRHF-26594,3075767,1667906454,1667918319
PRHF-26594,3075849,1667906624,1667918305
PRHF-26594,3075850,1667906725,1667918286
PRHF-26594,3075764,1667906165,1667918272
PRHF-26594,3075768,1667906545,1667918256
PRHF-26587,3075618,1667899047,1667900402
PRHF-26587,3075620,1667899162,1667900390
PRHF-26563,3073589,1667827117,1667829025
PRHF-26563,3073388,1667826951,1667829014
PRHF-26560,3073201,1667819485,1667822330
PRHF-26560,3073200,1667819402,1667822154
PRHF-26560,3073199,1667819328,1667821559
PRJ-37498,3072747,1667815000,1667819422
PRJ-37498,3072748,1667815519,1667819399
PRJ-37499,3073190,1667816411,1667819376
PRJ-37499,3073192,1667816489,1667819354
PRJ-37500,3073196,1667817155,1667818682
PRJ-37500,3073194,1667816925,1667818675
PRHF-26556,3072741,1667810846,1667814779
PRHF-26556,3072742,1667810948,1667814664
PRHF-26556,3072740,1667810628,1667813883
PRHF-26545,3072737,1667808440,1667809713
PRHF-26545,3070284,1667727402,1667735528
PRHF-26545,3070395,1667727902,1667735509
PRJ-39190,3065132,1667487082,1667727022
PRJ-39190,3062176,1667406012,1667487938
PRJ-39189,3062175,1667405962,1667487898
PRJ-39189,3065131,1667486759,1667487541
PRJ-39188,3065129,1667486198,1667486887
PRJ-39188,3062174,1667405876,1667486519
PRHF-26525,3064572,1667469819,1667472995
PRHF-26525,3064573,1667470512,1667472535
PRHF-26504,3061467,1667388056,1667391492
PRHF-26504,3061468,1667388181,1667391470
PRHF-26457,3061456,1667384335,1667391232
PRHF-26457,3061455,1667384248,1667391208
PRHF-26459,3061454,1667383492,1667386361
PRHF-26459,3061316,1667379492,1667380570
PRHF-26459,3055699,1667215326,1667373195
PRHF-26459,3055702,1667215694,1667373173
PRHF-26459,3055700,1667215451,1667373168
PRJ-39190-feature2,3056577,1667222236,1667232256
PRJ-39190-feature1,3056572,1667221980,1667232099
PRJ-39189-feature2,3056570,1667221639,1667231894
PRJ-39188-feature2,3056264,1667220498,1667231815
PRJ-39189-feature1,3056268,1667221509,1667231752
PRJ-39188-feature1,3056261,1667220325,1667231696
PRHF-26458,3055698,1667214397,1667215355
PRHF-26458,3055696,1667214278,1667215350
PRHF-26454,3053989,1667146268,1667147410
PRHF-26454,3053647,1667141644,1667143048
PRHF-26412,3047903,1666885264,1666888231
PRHF-26412,3047905,1666886146,1666886792
PRHF-26433,3047901,1666885023,1666886090
PRHF-26433,3047900,1666884818,1666885886
PRHF-26412,3045641,1666805434,1666863069
PRHF-26424,3047503,1666860559,1666861950
PRHF-26412,3045639,1666805345,1666861583
PRHF-26424,3047502,1666860495,1666861537
PRHF-26326,3036932,1666532354,1666623782
PRHF-26326,3036933,1666532494,1666623769
PRHF-25971,3039205,1666621835,1666623318
PRHF-25971,3012638,1665474754,1666621835
PRHF-26326,3036493,1666509382,1666511330
PRHF-26326,3036492,1666508947,1666511290
PRJ-42128,3031251,1666273710,1666277703
PRJ-42128,3031250,1666273642,1666277690
PRJ-42077,3031253,1666274157,1666277463
PRJ-42077,3031252,1666274044,1666277455
PRJ-42127,3031249,1666273421,1666274225
PRJ-42127,3031068,1666273347,1666274217
PRHF-26061,3030693,1666255404,1666256164
PRHF-26061,3028459,1666183709,1666190391
PRHF-26061,3028458,1666183546,1666190087
PRJ-41864,3028553,1666186730,1666187010
PRJ-41864,3028552,1666186610,1666186930
PRJ-41862,3028468,1666185907,1666186805
PRJ-41862,3028549,1666186025,1666186793
PRJ-41863,3028550,1666186305,1666186781
PRJ-41863,3028551,1666186374,1666186770
PRHF-26284,3028321,1666178598,1666181422
PRHF-26284,3028322,1666179087,1666181392
PRHF-26091,3028061,1666168108,1666180217
PRHF-26091,3028064,1666168711,1666179744
PRHF-26091,3028060,1666167921,1666178709
PRHF-26245,3026766,1666164563,1666177941
PRHF-26245,3026765,1666164479,1666177293
PRHF-26245,3026767,1666164699,1666173730
PRHF-26208,3025412,1666079601,1666083107
PRHF-26208,3017272,1665671638,1666081367
PRHF-26234,3025359,1666077538,1666078638
PRHF-26234,3025356,1666077446,1666078441
PRHF-26207,3017062,1665667606,1665676891
PRHF-26207,3017063,1665667814,1665676880
PRHF-26210,3017278,1665674346,1665675803
PRHF-26210,3017276,1665674107,1665675363
PRHF-26204,3016839,1665650926,1665653889
PRHF-26204,3016838,1665650629,1665653185
PRJ-39106,3015153,1665581005,1665584525
PRJ-41355,3015161,1665582427,1665584515
PRJ-41353,3015151,1665580173,1665580793
PRHF-26168,3012865,1665485321,1665489852
PRHF-26168,3012864,1665485199,1665489836
PRHF-26139,3004125,1665054899,1665476521
PRHF-26141,3004333,1665056854,1665066327
PRHF-26139,3004124,1665054759,1665065889
PRHF-26141,3004331,1665056208,1665065185
PRHF-26128,3004043,1665045009,1665047017
PRHF-26128,3004112,1665046348,1665046985
PRHF-26073,2989544,1664441479,1664443133
PRHF-26073,2989538,1664441168,1664442971
PRHF-26062,2987430,1664371087,1664439384
PRHF-26062,2987429,1664370542,1664438812
PRHF-26054,2987301,1664365636,1664370100
PRHF-26054,2987307,1664368177,1664370088
PRHF-25971,2986971,1664352804,1664354097
PRHF-25971,2973747,1663757434,1663759239
PRHF-25971,2973746,1663757284,1663759070
PRHF-25933,2970939,1663665480,1663674205
PRHF-25933,2970933,1663665026,1663674190
PRHF-25918,2968894,1663593549,1663594394
PRHF-25926,2967994,1663571914,1663576592
PRHF-25926,2966406,1663571109,1663576546
PRHF-25918,2965481,1663507331,1663574613
PRHF-25918,2965479,1663507043,1663572010
PRHF-25743,2938150,1662536506,1662552221
PRHF-25743,2938396,1662547736,1662552188
PRHF-25719,2935749,1662463575,1662470895
PRHF-25719,2933096,1662374880,1662452434
PRHF-25719,2933300,1662386066,1662452414
PRHF-25688,2924208,1662276444,1662281029
PRHF-25688,2929091,1662276569,1662281004
PRHF-25688,2924206,1662276360,1662280987
PRHF-25688,2924205,1662276275,1662280968
PRHF-25519,2902298,1661245518,1661252924
PRHF-25519,2902295,1661244915,1661252908
PRHF-25477,2899506,1661092116,1661177835
PRHF-25477,2899493,1661083796,1661177803
PRHF-25427,2888796,1660651765,1660731668
PRHF-25427,2888722,1660649805,1660731547
PRHF-25358,2886153,1660562942,1660565581
PRHF-25358,2877910,1660220900,1660555111
PRHF-25358,2877909,1660220553,1660551480
PRHF-25358,2877328,1660205573,1660220900
PRHF-25358,2877401,1660206909,1660220553
PRHF-25358,2877406,1660207863,1660217913
PRHF-25176,2850377,1659263257,1659271975
PRHF-25176,2850376,1659262746,1659271937
